@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
9.6,40,24.5,24,2.147,23.6
9.1,40,23.6,24,2.526,23.1
9.2,41,23.1,24,2.945,23
9.3,41,23,24,2.945,23
9.3,41,23,24,3.458,23.3
9,41,23.3,24,3.838,23.9
9,41,23.9,24,3.803,24
9,41,24,24,3.656,24
9.2,41,24,24,3.433,24.1
9.4,41,24.1,24,3.432,24
9.6,41,24,24,3.458,24.1
9.9,41,24.1,24,3.544,24
10.1,41,24,24,3.465,24
10.6,41,24,24,3.477,23.9
10.6,41,23.9,24,3.397,23.9
10.8,41,23.9,24,3.324,24
11.7,41,24,24,3.341,24
11.6,41,24,24,3.226,24
8.7,42,20.9,24,1.957,23.6
8.2,42,23.6,24,3.098,24.2
7.8,42,24.2,24,2.722,24.2
7.7,42,24.2,24,2.717,24.4
8.1,42,24.4,24,2.445,24.5
7.8,40,24.5,24,2.087,24.5
7.8,40,24.5,24,1.866,23.1
8.1,42,23.1,24,2.541,22.6
8.3,42,22.6,24,2.968,22.7
7.3,42,22.7,24,3.617,23.7
8.4,42,23.7,24,3.8,24.4
7.3,42,24.4,24,3.289,23.7
7.2,40,23.7,24,3.493,22.9
7.3,42,22.9,24,3.819,23
6.6,42,23,24,3.846,23.2
7,41,23.2,24,3.88,23.4
7,41,23.4,24,3.888,23.8
7,41,23.8,24,4.011,24
6.8,41,24,24,3.972,24
6.6,41,24,24,3.931,24
6.5,41,24,24,3.891,24
6.5,41,24,24,3.758,24
7,41,24,24,3.656,24
6.5,41,24,24,3.604,24
7.2,41,24,24,3.627,24
7.1,41,24,24,3.519,24
7.1,41,24,24,3.466,24
7.1,41,24,24,3.399,24
7.1,41,24,24,3.332,24
7.1,41,24,24,3.317,24
7.1,41,24,24,3.24,24
7.1,41,24,24,3.275,23.9
7.1,41,23.9,24,3.115,23.9
6.5,41,23.2,24,3.476,22.8
6.7,41,22.8,24,3.74,22.9
6.4,41,22.9,24,3.848,23.3
7,41,23.3,24,4.026,23.8
7.6,41,23.8,24,3.927,23.9
7.4,41,23.4,24,2.756,22.8
7.5,41,22.8,24,3.905,22.9
7.6,41,22.9,24,4.26,23.1
7.9,41,23.1,24,4.297,23.4
8.7,41,23.4,24,4.784,22.2
8.9,41,22.2,24,6.257,22
4,42,24,24,0.017,23.9
8.5,41,23.9,24,2.863,23.9
8.2,41,23.9,24,2.832,24.1
8.5,41,24.1,24,2.845,24.1
8.4,41,24.1,24,2.811,24
9.5,41,24,24,2.794,24
8.8,41,24,24,2.852,24
8.8,41,24,24,2.834,24
8.6,41,24,24,2.855,24
8.4,41,24,24,2.795,24
8.2,41,24,24,2.821,24
8.4,41,24,24,2.832,24
8.6,41,24,24,2.824,23.9
9.8,41,23.9,24,2.798,23.9
4.2,40,18.5,24,1.169,21.9
4.4,42,21.9,24,2.256,23.1
4.1,42,23.1,24,2.256,23.4
4.4,42,23.4,24,2.256,23.6
4.2,42,23.6,24,2.23,23.8
4.6,42,23.8,24,2.154,24
4.9,42,24,24,2.115,24
4.8,42,24,24,1.909,24.1
4.4,42,24.1,24,1.871,24.2
4.3,42,24.2,24,1.822,24.2
4.5,42,24.2,24,1.94,24.1
4.2,42,24.1,24,1.862,24.1
4.6,42,24.1,24,1.843,24.2
5.1,42,24.2,24,2.299,24.2
5.2,42,24.2,24,2.246,24.1
4.4,42,24.1,24,2.251,24.2
